Date,Prices
36892,1837.36
36893,1785.86
36894,1875.56
36895,1855.82
36896,1807.13
36899,1804.04
36900,1810.98
36901,1828.5
36902,1847.37
36903,1835.53
36907,1847.13
36908,1851.16
36909,1876.94
36910,1869.38
36913,1869.89
36914,1894.25
36915,1899.71
36916,1890.27
36917,1886.8
36920,1899.75
36921,1913.13
36922,1902.55
36923,1913.11
36924,1879.69
36927,1886.48
36928,1883.72
36929,1868.29
36930,1856.66
36931,1831.96
36934,1853.65
36935,1837.77
36936,1834.1
36937,1849.15
36938,1814.22
36942,1782.75
36943,1749.86
36944,1746.5
36945,1736.82
36948,1767.29
36949,1753.88
36950,1729.07
36951,1730.91
36952,1721.09
36955,1731.42
36956,1748.74
36957,1760.36
36958,1764.39
36959,1720.71
36962,1646.42
36963,1671.18
36964,1628.02
36965,1637.61
36966,1605.48
36969,1633.81
36970,1594.5
36971,1565.98
36972,1559.65
36973,1590.7
36976,1608.65
36977,1649.79
36978,1609.67
36979,1602.26
36980,1619.54
36983,1599.35
36984,1544.35
36985,1540.17
36986,1607.46
36987,1575.71
36990,1588.5
36991,1631.68
36992,1628.23
36993,1652.83
36997,1647.5
36998,1664.44
36999,1729.26
37000,1750.98
37001,1736.02
37004,1710.01
37005,1689.23
37006,1716.17
37007,1724.38
37008,1750.32
37011,1745.39
37012,1769.12
37013,1770.66
37014,1744.54
37015,1769.78
37018,1765.49
37019,1762.41
37020,1754.71
37021,1754.46
37022,1741.33
37025,1746.01
37026,1746.75
37027,1796.72
37028,1801.63
37029,1806.83
37032,1836.02
37033,1831.2
37034,1802.84
37035,1808.64
37036,1787.28
37040,1773.45
37041,1746.11
37042,1757.09
37043,1763.87
37046,1772.91
37047,1795.96
37048,1777.25
37049,1786.99
37050,1770.21
37053,1755.42
37054,1757.48
37055,1737.94
37056,1707.56
37057,1699.85
37060,1691.59
37061,1697.41
37062,1712.26
37063,1731.75
37064,1715.39
37067,1705.94
37068,1703.37
37069,1695.61
37070,1716.81
37071,1714.32
37074,1731.53
37075,1728.65
37077,1707.68
37078,1667.9
37081,1679.4
37082,1655.3
37083,1653.54
37084,1692.73
37085,1703.31
37088,1684.77
37089,1701.57
37090,1692.27
37091,1702.52
37092,1696.67
37095,1668.9
37096,1641.76
37097,1668.16
37098,1685.62
37099,1689.78
37102,1688.03
37103,1697.44
37104,1704.24
37105,1711.17
37106,1702.43
37109,1683.03
37110,1688.6
37111,1659.58
37112,1659.76
37113,1669.21
37116,1670.96
37117,1664.61
37118,1652.71
37119,1657.88
37120,1630.34
37123,1643.59
37124,1623.74
37125,1635.16
37126,1630.66
37127,1662.74
37130,1654.72
37131,1629.91
37132,1612.05
37133,1584.77
37134,1591.18
37138,1590.29
37139,1588.93
37140,1553.41
37141,1524.47
37144,1533.98
37151,1458.99
37152,1450.54
37153,1427.24
37154,1382.93
37155,1356.61
37158,1409.5
37159,1421.91
37160,1415.01
37161,1431.29
37162,1462.69
37165,1459.33
37166,1477.29
37167,1507.03
37168,1503.31
37169,1506.11
37172,1493.54
37173,1485.63
37174,1519.77
37175,1542.98
37176,1534.86
37179,1532.52
37180,1543.15
37181,1514.5
37182,1502.61
37183,1509.46
37186,1532.55
37187,1525.35
37188,1525.96
37189,1546.9
37190,1553.26
37193,1516.39
