Date,SP500ClosedPrices,USTNoteClosedPrices
36889,1837.37,1.0307
36893,1785.86,1.0456
36894,1875.56,1.0279
36895,1855.82,1.0368
36896,1807.13,1.0455
36899,1804.04,1.0443
36900,1810.98,1.0407
36901,1828.50,1.0334
36902,1847.37,1.0325
36903,1835.54,1.0217
36907,1847.13,1.0241
36908,1851.16,1.0286
36909,1876.94,1.0335
36910,1869.38,1.0293
36913,1869.89,1.0255
36914,1894.25,1.0215
36915,1899.71,1.0200
36916,1890.27,1.0248
36917,1886.80,1.0227
36920,1899.75,1.0205
36921,1913.13,1.0267
36922,1902.55,1.0350
36923,1913.11,1.0373
36924,1879.69,1.0320
36927,1886.48,1.0314
36928,1883.72,1.0309
36929,1868.29,1.0285
36930,1856.66,1.0308
36931,1831.96,1.0350
36934,1853.65,1.0330
36935,1837.77,1.0322
36936,1834.10,1.0260
36937,1849.15,1.0253
36938,1814.22,1.0302
36942,1782.75,1.0305
36943,1749.86,1.0281
36944,1746.50,1.0273
36945,1736.82,1.0312
36948,1767.29,1.0364
36949,1753.88,1.0425
36950,1729.08,1.0477
36951,1730.92,1.0482
36952,1721.09,1.0428
36955,1731.42,1.0408
36956,1748.74,1.0423
36957,1760.36,1.0481
36958,1764.39,1.0469
36959,1720.71,1.0446
36962,1646.42,1.0486
36963,1671.19,1.0458
36964,1628.02,1.0539
36965,1637.61,1.0569
36966,1605.48,1.0584
36969,1633.81,1.0557
36970,1594.50,1.0605
36971,1565.98,1.0591
36972,1559.65,1.0623
36973,1590.70,1.0585
36976,1608.65,1.0543
36977,1649.79,1.0440
36978,1609.67,1.0470
36979,1602.26,1.0448
36980,1619.54,1.0521
36983,1599.36,1.0479
36984,1544.35,1.0518
36985,1540.17,1.0526
36986,1607.46,1.0482
36987,1575.71,1.0552
36990,1588.50,1.0524
36991,1631.69,1.0404
36992,1628.23,1.0370
36993,1652.83,1.0324
36997,1647.50,1.0280
36998,1664.44,1.0307
36999,1729.26,1.0364
37000,1750.98,1.0246
37001,1736.02,1.0254
37004,1710.01,1.0345
37005,1689.23,1.0322
37006,1716.17,1.0287
37007,1724.38,1.0342
37008,1750.32,1.0241
37011,1745.39,1.0232
37012,1769.12,1.0271
37013,1770.66,1.0273
37014,1744.54,1.0334
37015,1769.78,1.0335
37018,1765.49,1.0353
37019,1762.41,1.0315
37020,1754.72,1.0377
37021,1754.46,1.0277
37022,1741.33,1.0163
37025,1746.01,1.0182
37026,1746.75,1.0126
37027,1796.72,1.0166
37028,1801.63,1.0206
37029,1806.83,1.0209
37032,1836.02,1.0232
37033,1831.20,1.0214
37034,1802.84,1.0226
37035,1808.64,1.0147
37036,1787.28,1.0148
37040,1773.46,1.0134
37041,1746.11,1.0147
37042,1757.09,1.0246
37043,1763.87,1.0258
37046,1772.92,1.0279
37047,1795.96,1.0335
37048,1777.25,1.0350
37049,1786.99,1.0300
37050,1770.21,1.0275
37053,1755.43,1.0333
37054,1757.48,1.0363
37055,1737.94,1.0355
37056,1707.56,1.0387
37057,1699.85,1.0377
37060,1691.59,1.0366
37061,1697.41,1.0383
37062,1712.26,1.0408
37063,1731.76,1.0438
37064,1715.39,1.0479
37067,1705.94,1.0478
37068,1703.37,1.0405
37069,1695.61,1.0390
37070,1716.81,1.0323
37071,1714.32,1.0268
37074,1731.53,1.0341
37075,1728.65,1.0294
37077,1707.68,1.0285
37078,1667.90,1.0315
37081,1679.40,1.0346
37082,1655.31,1.0394
37083,1653.54,1.0373
37084,1692.73,1.0421
37085,1703.31,1.0434
37088,1684.77,1.0482
37089,1701.57,1.0454
37090,1692.27,1.0540
37091,1702.52,1.0531
37092,1696.67,1.0517
37095,1668.90,1.0539
37096,1641.76,1.0539
37097,1668.16,1.0482
37098,1685.62,1.0521
37099,1689.79,1.0546
37102,1688.03,1.0571
37103,1697.45,1.0582
37104,1704.24,1.0577
37105,1711.17,1.0513
37106,1702.43,1.0505
37109,1683.03,1.0523
37110,1688.60,1.0511
37111,1659.58,1.0604
37112,1659.76,1.0566
37113,1669.21,1.0607
37116,1670.96,1.0618
37117,1664.61,1.0610
37118,1652.71,1.0590
37119,1657.88,1.0637
37120,1630.35,1.0725
37123,1643.59,1.0679
37124,1623.74,1.0710
37125,1635.16,1.0682
37126,1630.67,1.0698
37127,1662.74,1.0669
37130,1654.72,1.0672
37131,1629.91,1.0737
37132,1612.05,1.0795
37133,1584.77,1.0762
37134,1591.18,1.0745
37138,1590.29,1.0651
37139,1588.93,1.0647
37140,1553.41,1.0719
37141,1524.47,1.0793
37144,1533.98,1.0755
37155,1356.61,1.0826
37158,1409.50,1.0830
37159,1421.91,1.0911
37160,1415.01,1.0974
37161,1431.29,1.1041
37162,1462.69,1.1014
37165,1459.33,1.1063
37166,1477.29,1.1091
37167,1507.03,1.1122
37168,1503.31,1.1091
37169,1506.11,1.1097
37173,1485.63,1.1024
37174,1519.77,1.1022
37175,1542.98,1.0969
37176,1534.86,1.0965
37179,1532.52,1.1027
37180,1543.15,1.1062
37181,1514.50,1.1057
37182,1502.61,1.1054
37183,1509.46,1.1018
37186,1532.55,1.1004
37187,1525.35,1.1001
