1,2,3,4,5,6,7,8,9,10
254,2320,690,1745,1838,188,364,1863,1782,1251
1683,504,2474,1150,504,185,2199,1340,2274,1624
1672,2367,1053,1622,1923,478,1298,914,2395,1171
1419,1044,1865,1677,136,681,991,1219,2465,589
1552,1101,919,38,1190,679,1724,1385,1339,1546
1276,609,2015,843,241,618,1158,1103,706,2497
2349,2479,937,1473,847,2233,979,557,2042,2512
998,779,2040,1063,570,1100,2081,1055,918,2089
1582,2118,718,1206,1298,1226,32,1441,1594,702
486,1027,2196,1735,1158,1071,994,770,932,1322
744,2353,1734,821,1168,453,804,1303,369,2154
1602,2430,638,507,1337,1832,2384,586,2312,1576
1351,516,57,1383,500,1366,455,326,1467,433
1242,2375,2042,1617,159,2324,2282,2434,296,223
469,1415,2030,740,1633,523,2376,355,2244,1093
1192,1727,1456,607,2377,352,2499,1366,1988,434
1822,676,1664,53,2476,1261,1575,63,1576,1455
1254,1913,904,1386,218,1080,547,2289,1590,1632
2014,2487,598,793,815,2372,1368,1712,2513,1806
1146,784,2003,2286,461,195,235,2317,994,2086
667,835,1884,2335,1846,2176,1488,680,1295,2233
263,2432,1963,2070,1710,894,1239,1003,2029,1151
1540,323,617,1473,2350,2362,1944,551,184,873
736,2069,1563,205,1411,1931,91,1462,874,2502
640,634,705,1487,1498,2252,445,2340,2421,568
326,1348,2226,2173,344,791,1083,1848,1392,834
1298,631,368,1935,1638,531,79,590,1622,2026
712,164,769,1618,1217,2005,1676,491,22,1126
1930,1443,783,1917,1327,124,33,248,1839,512
129,209,1687,349,1736,1799,1172,1598,1671,166
1508,1701,591,556,1746,594,1123,1618,175,1868
913,1489,245,313,1410,1925,2275,2101,1668,2060
1109,1970,504,2315,1112,1375,1425,2485,840,2017
933,1963,1490,913,2376,1222,1515,1845,766,2435
1349,1486,843,837,747,224,1235,2400,99,1029
1970,1613,803,1120,856,191,982,108,809,495
1706,1731,1176,1707,2449,164,159,411,925,937
1512,989,1151,2067,2324,2309,2185,532,307,1308
1528,2477,2451,22,711,1735,551,1403,1843,568
1029,579,203,2019,1702,2118,1887,38,360,2109
1219,2310,721,802,2206,1386,95,2213,1188,1927
2211,1092,2375,2041,1876,1626,1015,1383,2482,403
862,1823,475,655,695,471,323,336,1469,1194
1625,953,1519,1686,1800,2334,1250,2323,1225,74
2316,1407,1499,1132,105,420,1286,1415,2289,1481
517,1146,1884,511,2328,1858,399,1034,898,492
1994,1860,2365,2340,1340,1151,1637,468,1697,297
2495,1154,470,2333,1283,258,1368,907,1486,115
476,2267,2105,2009,350,885,1994,1007,1953,1455
767,1141,887,340,754,2323,588,1611,656,2104
1067,856,450,1366,996,1862,670,1776,1900,1845
533,1670,1961,290,642,822,889,2251,2184,652
845,814,804,289,2247,44,2270,174,2078,280
299,1026,1045,2089,1451,2358,2094,997,2302,903
1598,1657,1274,679,959,970,595,2403,2240,1480
345,1537,497,2039,392,418,1770,1946,2105,896
1475,735,519,521,2452,2165,1573,1457,2355,2079
2302,2359,2010,1357,1296,2501,2127,1014,2425,967
2277,550,1230,88,2211,1854,2446,946,1827,2073
238,149,2379,348,2288,812,217,1841,1680,1726
763,1242,327,263,1304,2039,461,633,465,973
76,233,527,1513,1816,974,142,832,852,743
1412,1559,1442,1838,1240,339,60,1574,972,1956
2401,1904,1722,983,2081,747,1812,2359,911,1849
1417,222,1078,858,675,1479,1356,2035,1402,880
567,642,1170,1613,199,523,2444,752,1875,1931
433,912,1616,1442,2489,108,1723,1858,2491,1055
2036,1061,767,1985,1417,435,518,145,1385,1816
932,216,31,924,879,1011,811,1523,713,449
1717,459,991,2217,1996,494,714,1269,1974,1088
1432,1968,481,1429,2232,766,613,1032,2016,2315
683,2082,1603,902,1219,1324,1969,1120,2316,811
1217,2144,2129,207,1661,1918,950,2435,1978,917
1548,411,887,1479,192,1791,2380,2460,1718,1657
1237,306,313,279,1655,1314,2098,1024,2492,875
1004,94,1978,2345,1649,1165,591,1166,677,1295
2202,1862,181,1247,2246,1073,2368,1696,688,1728
1269,766,926,1591,1100,2098,2230,1159,1658,1172
2150,1799,468,1783,1412,1408,2348,259,95,1192
629,1862,215,711,1142,1955,1010,2314,431,1396
2050,2109,1847,1293,450,1156,1120,1374,2354,1481
2422,2364,2291,470,1554,1461,840,1025,2293,1402
1621,791,20,2093,262,431,1183,344,1866,1819
136,1851,1700,934,2031,595,826,1607,727,184
1442,2146,397,2134,891,1082,2357,441,1976,1710
572,421,727,1350,344,651,1956,299,588,1213
1099,1308,1973,2216,292,1898,1417,507,2206,600
40,1316,1817,1841,146,2494,84,370,738,742
1898,284,2320,132,2162,1823,344,1932,277,926
665,1272,1669,69,1173,2351,1385,2491,626,2312
1367,897,1454,723,1168,589,2231,2390,1143,172
1861,67,595,2446,1127,288,2268,1240,1042,986
649,1747,1227,1705,648,2491,268,310,1392,1539
1296,1718,1759,311,2104,92,89,2261,693,222
1962,2405,602,1848,956,147,1656,91,1551,1225
711,1111,1350,1017,596,637,1780,480,1557,2394
2143,1713,1064,1424,944,1762,1401,1816,2080,2010
648,1375,2086,1527,1655,176,1240,1755,2053,708
2168,964,2415,1282,1050,839,628,667,409,1096
2075,533,838,1997,1097,1064,646,707,1035,1456
983,1352,691,637,195,2124,1938,2409,98,1894
1485,242,384,2239,1441,1185,1326,2141,1687,1332
1064,1428,1136,2439,92,195,1072,2237,1723,222
2458,306,1082,623,442,2295,1644,1324,646,1538
1600,1547,137,1273,1651,1882,382,1210,1633,2155
131,1619,2388,1153,331,1455,402,471,1688,964
1658,948,1863,366,2030,1495,538,34,873,1358
1765,1310,155,523,1731,806,509,1829,1596,2455
1820,1966,880,2478,2158,31,1014,1683,144,788
2149,259,2097,1091,231,1832,1358,1949,126,2071
1510,2023,1508,1155,619,2476,958,321,682,1584
2175,1697,2127,1479,2334,1796,2311,409,1793,393
600,441,168,69,1307,1451,823,579,2018,1301
1887,990,1293,680,875,1207,700,2343,1067,748
8,726,1494,1449,676,1932,1401,1939,1413,2204
1039,585,931,61,2020,2308,1719,390,1637,727
2326,202,1983,1395,2121,2312,633,2310,1012,1423
1302,2468,484,1429,1202,2415,1006,876,1036,2206
2186,382,1914,944,691,1616,2433,798,2385,1377
435,2079,991,637,110,2312,6,1923,1313,986
49,2351,1930,288,731,917,199,981,2024,2220
191,1350,1466,40,2316,857,2339,867,2184,1380
1496,420,2283,116,2143,902,2012,2217,145,2137
697,2004,1724,1555,1724,1027,1021,1521,2178,1779
514,1157,1348,84,249,1330,2424,422,1189,2451
556,1802,1403,1144,1959,1082,251,627,1888,1551
1847,633,1357,789,289,1828,478,904,759,621
543,94,1195,1754,474,1089,1183,1966,2179,443
486,2287,367,1779,1080,2227,1545,1870,227,777
2496,203,1044,189,604,1008,442,2269,1521,615
1003,705,1026,1972,1636,1875,2096,1464,1022,2257
1287,2427,1354,142,430,474,1153,2425,373,86
2353,1139,78,27,342,1154,540,2014,2248,799
1663,304,1943,1825,1587,1599,2316,717,1708,277
686,76,1732,1054,285,2147,580,1528,1380,574
56,1576,2275,322,1948,2326,1485,1439,518,1349
1137,1703,1248,2080,396,1599,2462,1409,1591,1326
851,1069,230,912,236,1760,1702,684,1670,491
658,611,1967,333,1060,784,1361,317,326,1549
2167,2292,473,546,1641,2478,2364,236,1139,2027
721,546,2089,1806,1356,283,824,636,367,2042
550,2417,2046,1531,2219,1104,165,1290,136,1741
1906,2064,1856,1285,1498,1768,203,2504,421,536
2408,2274,1363,1578,1466,2417,2392,1323,2259,2019
1490,1274,116,1759,198,2403,1717,1808,1442,1942
1109,1228,351,1134,744,507,821,1092,340,107
1358,353,773,1677,537,1423,1073,2283,802,2219
558,901,619,2310,1774,2470,1473,2375,1129,1068
2108,1662,600,395,1487,2009,2267,329,469,602
1454,222,1046,131,554,469,684,927,1510,233
722,1237,1551,519,1235,364,409,415,1310,677
887,727,2286,710,975,310,225,484,2088,1829
351,1206,1455,2209,2033,394,809,2105,2123,2273
1885,2087,402,1747,783,2305,2185,2035,1980,963
1826,1639,1187,824,2493,679,596,1493,664,2478
657,1765,765,117,1787,2366,977,1745,361,692
540,1440,2325,549,2252,2172,1101,857,195,180
902,1393,1760,2134,1993,2102,1124,1984,1358,1399
1013,1429,706,117,2405,912,2400,1466,1213,2349
309,1097,2066,766,1467,339,280,1012,90,1535
2438,1555,151,946,1501,1624,515,987,1994,1349
1150,1959,1131,903,2214,81,1330,963,1755,2246
182,454,1519,1356,661,1412,1480,602,194,1874
128,350,1399,1687,1209,829,572,2165,1271,2148
1770,1860,1397,2043,11,2032,2415,539,1531,1491
1844,1867,2005,1922,2105,210,726,851,531,2444
1814,902,840,1561,9,2464,1555,1697,148,863
1001,912,26,398,2031,2484,811,1000,818,1075
2366,24,657,1966,2395,131,2462,2133,2033,399
316,1397,1582,1860,1620,81,1592,2083,2199,1144
538,2444,1239,851,1754,206,1491,1051,798,1609
1722,1982,1071,454,2227,1120,1233,1101,234,2255
2230,197,1044,2496,102,1049,1624,1583,2325,75
149,1238,1188,1658,767,1215,2287,835,1752,2504
1399,201,1655,1746,303,467,1560,2378,44,879
369,1438,1874,1721,1429,172,2141,2389,2286,2392
1290,2335,970,987,681,875,645,1964,2377,659
781,999,668,735,1931,2074,598,1597,2219,703
2004,617,41,1250,1911,243,1206,873,1549,2341
2290,2057,476,1011,1199,1360,1761,28,1701,1251
655,1899,82,197,818,2222,1119,353,371,1688
1250,559,1888,1545,1213,1454,1170,2421,1132,445
1365,2467,87,829,2265,2153,904,265,1282,1644
2008,448,1171,573,2177,695,687,1241,63,2215
942,2430,1745,836,1144,2459,588,7,1383,1171
472,1723,1251,1897,1430,2183,1890,582,1177,85
261,788,1923,1634,828,1573,560,26,761,1984
1885,1435,1512,1825,281,2386,355,2232,2172,597
2164,794,2023,1966,5,2352,1783,246,5,2505
1615,142,1364,143,1563,57,1949,1073,2308,202
663,1187,1933,33,1675,1722,1990,485,1757,2331
2195,81,1005,1904,2066,397,588,606,1403,2418
170,385,323,1719,1366,2471,811,1722,2222,1609
442,170,1665,689,345,737,1416,277,464,2425
1693,1786,1679,1050,817,1421,415,716,69,1049
310,1727,1310,588,1456,524,1206,559,1827,777
2242,2026,1570,841,1661,2406,2050,1955,1114,2009
366,2383,670,2221,1410,1773,2391,113,418,1044
2195,612,802,1961,230,759,134,1769,957,2352
1510,2128,483,2503,755,63,197,795,1687,287
1540,207,2354,1525,842,310,1939,1228,1885,84
1417,1470,2307,1331,2428,75,1668,2394,41,62
2344,795,1550,1336,838,2043,1619,162,977,444
1203,582,1345,2060,569,468,988,347,1067,1612
874,2260,1265,1528,2425,292,1988,1269,701,784
851,2027,1200,1478,885,2208,53,982,1267,399
1820,993,2304,855,2086,1013,223,1791,1537,1677
1385,803,1328,1363,1345,208,1189,2200,1073,1400
338,95,751,1175,33,13,735,1719,294,991
338,1999,2190,2159,1439,2340,685,1900,12,2500
2050,1211,226,2411,581,989,1549,971,1402,1789
1038,2055,1469,801,1458,516,488,2149,2081,64
1605,53,491,612,689,1228,2358,1954,1998,835
2165,1560,1229,965,2223,702,1389,1043,280,1706
2490,1405,490,505,349,2198,686,2513,834,1143
644,656,1911,2508,1895,1390,81,586,1036,2345
1219,296,2392,2417,1936,518,1721,699,1872,251
