S(t),r,q,DTM,X,Option Price
1137.14,6.82445E-06,5.69668E-05,43,1260,0.45
1137.14,6.82445E-06,5.69668E-05,43,1255,0.50
1137.14,6.82445E-06,5.69668E-05,43,1250,0.68
1137.14,6.82445E-06,5.69668E-05,43,1245,0.70
1137.14,6.82445E-06,5.69668E-05,43,1240,0.85
1137.14,6.82445E-06,5.69668E-05,43,1235,1.18
1137.14,6.82445E-06,5.69668E-05,43,1230,1.40
1137.14,6.82445E-06,5.69668E-05,43,1225,1.68
1137.14,6.82445E-06,5.69668E-05,43,1220,1.85
1137.14,6.82445E-06,5.69668E-05,43,1215,2.28
1137.14,6.82445E-06,5.69668E-05,43,1210,2.65
1137.14,6.82445E-06,5.69668E-05,43,1205,3.30
1137.14,6.82445E-06,5.69668E-05,43,1200,3.90
1137.14,6.82445E-06,5.69668E-05,43,1195,4.70
1137.14,6.82445E-06,5.69668E-05,43,1190,5.50
1137.14,6.82445E-06,5.69668E-05,43,1185,6.55
1137.14,6.82445E-06,5.69668E-05,43,1180,7.75
1137.14,6.82445E-06,5.69668E-05,43,1175,9.05
1137.14,6.82445E-06,5.69668E-05,43,1170,10.50
1137.14,6.82445E-06,5.69668E-05,43,1165,12.25
1137.14,6.82445E-06,5.69668E-05,43,1160,14.15
1137.14,6.82445E-06,5.69668E-05,43,1155,16.15
1137.14,6.82445E-06,5.69668E-05,43,1150,18.35
1137.14,6.82445E-06,5.69668E-05,43,1145,20.75
1137.14,6.82445E-06,5.69668E-05,43,1140,23.35
1137.14,6.82445E-06,5.69668E-05,43,1135,26.54
1137.14,6.82445E-06,5.69668E-05,43,1130,29.44
1137.14,6.82445E-06,5.69668E-05,43,1125,32.54
1137.14,6.82445E-06,5.69668E-05,43,1120,35.74
1137.14,6.82445E-06,5.69668E-05,43,1115,39.04
1137.14,6.82445E-06,5.69668E-05,43,1110,42.53
1137.14,6.82445E-06,5.69668E-05,43,1105,46.13
1137.14,6.82445E-06,5.69668E-05,43,1100,49.83
